KEY,科目,学校,年度,試験,大分野,中分野,分野,出題数
001001001K,算数,久我山,2025,1回,計算,計算,四則計算・逆算,1
001001001K,算数,久我山,2025,1回,計算,計算,四則計算・逆算,1
001001001K,算数,久我山,2025,1回,計算,計算,四則計算・逆算,1
001001003K,算数,久我山,2025,ST1,計算,計算,単位の計算,1
002002004K,算数,久我山,2025,ST2,和と差,和と差,和差算・分配算,1
002002006K,算数,久我山,2025,ST2,和と差,和と差,つるかめ算,1
002002007K,算数,久我山,2025,ST2,和と差,和と差,平均とのべ,1
002002008K,算数,久我山,2025,ST1,和と差,和と差,過不足算・差集め算,1
002002010K,算数,久我山,2025,ST2,和と差,和と差,年齢算,1
003003011K,算数,久我山,2025,ST1,割合と比,割合と比,割合と比,1
003003011K,算数,久我山,2025,ST2,割合と比,割合と比,割合と比,1
003003013K,算数,久我山,2025,1回,割合と比,割合と比,還元算・相当算,1
003003014K,算数,久我山,2025,ST1,割合と比,割合と比,比の性質,1
003003016K,算数,久我山,2025,1回,割合と比,割合と比,売買損益,1
003003016K,算数,久我山,2025,ST1,割合と比,割合と比,売買損益,1
003003017K,算数,久我山,2025,1回,割合と比,割合と比,濃度,1
003003017K,算数,久我山,2025,ST2,割合と比,割合と比,濃度,1
003003018K,算数,久我山,2025,ST2,割合と比,割合と比,仕事算,1
003003019K,算数,久我山,2025,ST1,割合と比,割合と比,ニュートン算,1
004004021K,算数,久我山,2025,1回,速さ,速さ,旅人算,1
004004021K,算数,久我山,2025,ST2,速さ,速さ,旅人算,1
004004022K,算数,久我山,2025,ST1,速さ,速さ,通過算,1
004004022K,算数,久我山,2025,ST2,速さ,速さ,通過算,1
004004023K,算数,久我山,2025,1回,速さ,速さ,流水算,1
004004024K,算数,久我山,2025,ST2,速さ,速さ,時計算,1
004004025K,算数,久我山,2025,1回,速さ,速さ,速さと比,1
004004025K,算数,久我山,2025,1回,速さ,速さ,速さと比,1
004004025K,算数,久我山,2025,ST1,速さ,速さ,速さと比,1
005005026K,算数,久我山,2025,1回,図形,図形,角度・面積・長さ,1
005005026K,算数,久我山,2025,ST1,図形,図形,角度・面積・長さ,1
005005026K,算数,久我山,2025,ST2,図形,図形,角度・面積・長さ,1
005005027K,算数,久我山,2025,ST1,図形,図形,辺の比と面積の比・相似,1
005005027K,算数,久我山,2025,ST2,図形,図形,辺の比と面積の比・相似,1
005005028K,算数,久我山,2025,1回,図形,図形,体積・表面積,1
005005028K,算数,久我山,2025,1回,図形,図形,体積・表面積,1
005005028K,算数,久我山,2025,ST1,図形,図形,体積・表面積,1
005005028K,算数,久我山,2025,ST2,図形,図形,体積・表面積,1
005005029K,算数,久我山,2025,ST1,図形,図形,水の深さと体積,1
005005031K,算数,久我山,2025,ST2,図形,図形,構成・分割,1
005005032K,算数,久我山,2025,ST2,図形,図形,図形・点の移動,1
006006033K,算数,久我山,2025,ST1,表とグラフ,表とグラフ,表とグラフ,1
007007034K,算数,久我山,2025,ST2,数の性質,数の性質,約数と倍数,1
007007036K,算数,久我山,2025,ST2,数の性質,数の性質,約束記号・文字式,1
007007037K,算数,久我山,2025,1回,数の性質,数の性質,整数・小数・分数の性質,1
007007037K,算数,久我山,2025,ST1,数の性質,数の性質,整数・小数・分数の性質,1
008008038K,算数,久我山,2025,ST1,規則性,規則性,植木算,1
008008039K,算数,久我山,2025,ST1,規則性,規則性,周期算,1
008008040K,算数,久我山,2025,1回,規則性,規則性,数列,1
008008040K,算数,久我山,2025,ST1,規則性,規則性,数列,1
008008042K,算数,久我山,2025,ST1,規則性,規則性,図形と規則,1
009009043K,算数,久我山,2025,ST2,場合の数,場合の数,場合の数,1
010010044K,算数,久我山,2025,ST1,調べ・推定・条件の整理,調べ・推定・条件の整理,調べ・推定・条件の整理,1
010010044K,算数,久我山,2025,ST1,調べ・推定・条件の整理,調べ・推定・条件の整理,調べ・推定・条件の整理,1
001001001K,算数,久我山,2024,1回,計算,計算,四則計算・逆算,1
001001001K,算数,久我山,2024,1回,計算,計算,四則計算・逆算,1
001001001K,算数,久我山,2024,1回,計算,計算,四則計算・逆算,1
002002005K,算数,久我山,2024,ST2,和と差,和と差,消去算,1
002002006K,算数,久我山,2024,ST1,和と差,和と差,つるかめ算,1
002002006K,算数,久我山,2024,ST2,和と差,和と差,つるかめ算,1
002002007K,算数,久我山,2024,ST1,和と差,和と差,平均とのべ,1
002002008K,算数,久我山,2024,ST1,和と差,和と差,過不足算・差集め算,1
002002008K,算数,久我山,2024,ST2,和と差,和と差,過不足算・差集め算,1
002002009K,算数,久我山,2024,ST2,和と差,和と差,集まり,1
002002010K,算数,久我山,2024,ST1,和と差,和と差,年齢算,1
003003011K,算数,久我山,2024,1回,割合と比,割合と比,割合と比,1
003003011K,算数,久我山,2024,ST1,割合と比,割合と比,割合と比,1
003003011K,算数,久我山,2024,ST2,割合と比,割合と比,割合と比,1
003003013K,算数,久我山,2024,1回,割合と比,割合と比,還元算・相当算,1
003003014K,算数,久我山,2024,ST1,割合と比,割合と比,比の性質,1
003003016K,算数,久我山,2024,1回,割合と比,割合と比,売買損益,1
003003016K,算数,久我山,2024,ST1,割合と比,割合と比,売買損益,1
003003016K,算数,久我山,2024,ST2,割合と比,割合と比,売買損益,1
003003017K,算数,久我山,2024,ST1,割合と比,割合と比,濃度,1
003003017K,算数,久我山,2024,ST2,割合と比,割合と比,濃度,1
004004020K,算数,久我山,2024,ST1,速さ,速さ,速さ,1
004004021K,算数,久我山,2024,ST1,速さ,速さ,旅人算,1
004004021K,算数,久我山,2024,ST2,速さ,速さ,旅人算,1
004004022K,算数,久我山,2024,ST2,速さ,速さ,通過算,1
004004023K,算数,久我山,2024,ST1,速さ,速さ,流水算,1
004004024K,算数,久我山,2024,1回,速さ,速さ,時計算,1
004004025K,算数,久我山,2024,ST1,速さ,速さ,速さと比,1
005005026K,算数,久我山,2024,1回,図形,図形,角度・面積・長さ,1
