分野,年度,試験
説明文・論説文,2025,1回
説明文・論説文,2025,2回
説明文・論説文,2024,1回
説明文・論説文,2024,2回
説明文・論説文,2023,1回
説明文・論説文,2023,2回
説明文・論説文,2022,1回
説明文・論説文,2022,2回
説明文・論説文,2021,1回
説明文・論説文,2021,2回
小説・物語・伝記,2025,1回
小説・物語・伝記,2025,2回
小説・物語・伝記,2024,1回
小説・物語・伝記,2024,2回
小説・物語・伝記,2023,1回
小説・物語・伝記,2023,2回
小説・物語・伝記,2022,1回
小説・物語・伝記,2022,2回
小説・物語・伝記,2021,1回
小説・物語・伝記,2021,2回
内容理解,2025,1回
内容理解,2025,2回
内容理解,2024,1回
内容理解,2024,2回
内容理解,2023,1回
内容理解,2023,2回
内容理解,2022,1回
内容理解,2022,2回
内容理解,2021,1回
内容理解,2021,2回
指示語・接続後,2025,1回
指示語・接続後,2024,1回
指示語・接続後,2024,2回
漢字の書き取り,2025,1回
漢字の書き取り,2025,2回
漢字の書き取り,2024,1回
漢字の書き取り,2024,2回
漢字の書き取り,2023,1回
漢字の書き取り,2023,2回
漢字の書き取り,2022,1回
漢字の書き取り,2022,2回
漢字の書き取り,2021,1回
漢字の書き取り,2021,2回
熟語,2025,1回
熟語,2025,2回
熟語,2024,1回
熟語,2024,2回
熟語,2023,1回
熟語,2023,2回
熟語,2022,1回
熟語,2022,2回
熟語,2021,1回
熟語,2021,2回
