"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"Y","帝京大学2025","帝京大学-2025-第1回-国語","3-10",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第2回-国語","11-19",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第3回-国語","20-28",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第1回-算数","33-37",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第2回-算数","38-43",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第3回-算数","44-49",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第1回-理科","55-62",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第2回-理科","63-71",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第1回-社会","75-87",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-第2回-社会","88-102",N,"Y","0"
"Y","帝京大学2025","帝京大学-2025-解答","29-32,50-54,72-74,103-106",N,"N","0"
"N",,,,,,
"Y","帝京大学2024","帝京大学-2024-第1回-国語","3-10",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第2回-国語","11-19",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第3回-国語","20-28",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第1回-算数","34-39",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第2回-算数","40-45",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第3回-算数","46-50",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第1回-理科","56-65",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第2回-理科","66-74",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第1回-社会","78-91",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-第2回-社会","92-106",N,"Y","0"
"Y","帝京大学2024","帝京大学-2024-解答","29-32,51-55,75-77,107-110",N,"N","0"
"N",,,,,,
"Y","帝京大学2022","帝京大学-2022-第1回-算数","1-3",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第1回-社会","4-12",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第1回-理科","13-20",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第1回-国語","33-21",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第2回-算数","47-50",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第2回-社会","51-59",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第2回-理科","60-65",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第2回-国語","81-66",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第3回-算数","95-98",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-第3回-国語","111-99",Y,"Y","0"
"Y","帝京大学2022","帝京大学-2022-解答","34-46,82-94,112-116",N,"N","0"
"Y","帝京大学付録","帝京大学-2022-第1回-解答用紙","2-5",N,"N","0"
"Y","帝京大学付録","帝京大学-2022-第2回-解答用紙","6-9",N,"N","0"
"Y","帝京大学付録","帝京大学-2022-第3回-解答用紙","10-11",N,"N","0"
"N",,,,,,
"Y","帝京大学2021","帝京大学-2021-第1回-算数","1-2",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第1回-社会","3-10",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第1回-理科","11-18",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第1回-国語","31-19",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第2回-算数","45-48",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第2回-社会","49-57",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第2回-理科","58-63",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第2回-国語","78-64",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第3回-算数","93-95",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-第3回-国語","109-96",Y,"Y","0"
"Y","帝京大学2021","帝京大学-2021-解答","32-44,79-92,110-114",N,"N","0"
"Y","帝京大学付録","帝京大学-2021-第1回-解答用紙","12-15",N,"N","0"
"Y","帝京大学付録","帝京大学-2021-第2回-解答用紙","16-19",N,"N","0"
"Y","帝京大学付録","帝京大学-2021-第3回-解答用紙","20-21",N,"N","0"
"N",,,,,,
"Y","帝京大学2020","帝京大学-2020-第1回-算数","1-3",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第1回-社会","4-12",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第1回-理科","13-18",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第1回-国語","33-19",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第2回-算数","47-50",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第2回-社会","51-60",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第2回-理科","61-65",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第2回-国語","79-66",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第3回-算数","92-95",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-第3回-国語","109-96",Y,"Y","0"
"Y","帝京大学2020","帝京大学-2020-解答","34-46,80-91,110-114",N,"N","0"
"Y","帝京大学付録","帝京大学-2020-第1回-解答用紙","22-25",N,"N","0"
"Y","帝京大学付録","帝京大学-2020-第2回-解答用紙","26-29",N,"N","0"
"Y","帝京大学付録","帝京大学-2020-第3回-解答用紙","30-31",N,"N","0"
"N",,,,,,
"Y","帝京大学2019","帝京大学-2019-第1回-算数","1-2",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第1回-社会","3-9",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第1回-理科","10-15",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第1回-国語","29-16",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第2回-算数","44-47",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第2回-社会","48-58",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第2回-理科","59-63",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第2回-国語","75-64",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第3回-算数","89-93",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-第3回-国語","104-94",Y,"Y","0"
"Y","帝京大学2019","帝京大学-2019-解答","30-43,76-88,105-110",N,"N","0"
"Y","帝京大学付録","帝京大学-2019-第1回-解答用紙","32-35",N,"N","0"
"Y","帝京大学付録","帝京大学-2019-第2回-解答用紙","36-39",N,"N","0"
"Y","帝京大学付録","帝京大学-2019-第3回-解答用紙","40-41",N,"N","0"
