"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"N",,,,,,
"Y","芝中学2025","芝中学-2025-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-理科","15-24",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-国語","33-25",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-算数","49-51",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-社会","52-63",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-理科","64-76",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-国語","85-77",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-解答","34-47,86-99",N,"N","0"
"N",,,,,,
