"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"Y","久我山付録","久我山-0概要","1",N,"N","0"
"N",,,,,,
"Y","久我山2021","久我山-2021-第1回-算数","1-3",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回-社会","4-14",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回-理科","15-20",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回-国語","27-21",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回ST-算数","39-41",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回ST-国語","50-42",Y,"Y","0"
"Y","久我山2021","久我山-2021-第2回ST-算数","57-60",Y,"Y","0"
"Y","久我山2021","久我山-2021-第2回ST-国語","78-61",Y,"Y","0"
"Y","久我山2021","久我山-2021-解答","28-38,51-56,79",N,"N","0"
"Y","久我山付録","久我山-2021-第1回-解答用紙","34-37",N,"N","0"
"Y","久我山付録","久我山-2021-第1回ST-解答用紙","38-39",N,"N","0"
"Y","久我山付録","久我山-2021-第2回ST-解答用紙","40",N,"N","0"
"N",,,,,,
