"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"Y","明大世田谷付録","明大世田谷-0概要","1",N,"N","0"
"N",,,,,,
"Y","明大世田谷2022","明大世田谷-2021-第1回-算数","47-50",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2021-第1回-社会","51-57",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2021-第1回-理科","58-61",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2021-第1回-国語","78-62",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2021-解答","79-88",N,"N","0"
"Y","明大世田谷付録","明大世田谷-2021-第1回-解答用紙","30-32",N,"N","0"
"N",,,,,,
"Y","明大世田谷2022","明大世田谷-2022-第1回-算数","1-4",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2022-第1回-社会","5-13",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2022-第1回-理科","14-18",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2022-第1回-国語","35-19",Y,"Y","0"
"Y","明大世田谷2022","明大世田谷-2022-解答","36-46",N,"N","0"
"Y","明大世田谷付録","明大世田谷-2022-第1回-解答用紙","26-29",N,"N","0"
