"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"Y","久我山付録","久我山-0概要","1",N,"N","0"
"N",,,,,,
"Y","久我山2021","久我山-2021-第1回-算数","1-3",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回-社会","4-14",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回-理科","15-20",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回-国語","27-21",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回ST-算数","39-41",Y,"Y","0"
"Y","久我山2021","久我山-2021-第1回ST-国語","50-42",Y,"Y","0"
"Y","久我山2021","久我山-2021-第2回ST-算数","57-60",Y,"Y","0"
"Y","久我山2021","久我山-2021-第2回ST-国語","78-61",Y,"Y","0"
"Y","久我山2021","久我山-2021-解答","28-38,51-56,79",N,"N","0"
"Y","久我山付録","久我山-2021-第1回-解答用紙","34-37",N,"N","0"
"Y","久我山付録","久我山-2021-第1回ST-解答用紙","38-39",N,"N","0"
"Y","久我山付録","久我山-2021-第2回ST-解答用紙","40",N,"N","0"
"N",,,,,,
"Y","久我山2022","久我山-2022-第1回-算数","1-3",Y,"Y","0"
"Y","久我山2022","久我山-2022-第1回-社会","4-14",Y,"Y","0"
"Y","久我山2022","久我山-2022-第1回-理科","15-22",Y,"Y","0"
"Y","久我山2022","久我山-2022-第1回-国語","29-23",Y,"Y","0"
"Y","久我山2022","久我山-2022-第1回ST-算数","41-43",Y,"Y","0"
"Y","久我山2022","久我山-2022-第1回ST-国語","52-44",Y,"Y","0"
"Y","久我山2022","久我山-2022-第2回ST-算数","61-64",Y,"Y","0"
"Y","久我山2022","久我山-2022-第2回ST-国語","77-65",Y,"Y","0"
"Y","久我山2022","久我山-2022-解答","30-40,53-60,78",N,"N","0"
"Y","久我山付録","久我山-2022-第1回-解答用紙","26-29",N,"N","0"
"Y","久我山付録","久我山-2022-第1回ST-解答用紙","30-31",N,"N","0"
"Y","久我山付録","久我山-2022-第2回ST-解答用紙","32-33",N,"N","0"
"N",,,,,,
"Y","久我山2023","久我山-2023-第1回-算数","1-3",Y,"Y","0"
"Y","久我山2023","久我山-2023-第1回-社会","4-18",Y,"Y","0"
"Y","久我山2023","久我山-2023-第1回-理科","19-27",Y,"Y","0"
"Y","久我山2023","久我山-2023-第1回-国語","35-28",Y,"Y","0"
"Y","久我山2023","久我山-2023-第1回ST-算数","47-50",Y,"Y","0"
"Y","久我山2023","久我山-2023-第1回ST-国語","59-51",Y,"Y","0"
"Y","久我山2023","久我山-2023-第2回ST-算数","69-74",Y,"Y","0"
"Y","久我山2023","久我山-2023-第2回ST-国語","90-75",Y,"Y","0"
"Y","久我山2023","久我山-2023-解答","36-46,60-67,91",N,"N","0"
"Y","久我山付録","久我山-2023-第1回-解答用紙","18-21",N,"N","0"
"Y","久我山付録","久我山-2023-第1回ST-解答用紙","22-23",N,"N","0"
"Y","久我山付録","久我山-2023-第2回ST-解答用紙","24-25",N,"N","0"
"N",,,,,,
"Y","久我山2024","久我山-2024-第1回-算数","1-3",Y,"Y","0"
"Y","久我山2024","久我山-2024-第1回-社会","4-18",Y,"Y","0"
"Y","久我山2024","久我山-2024-第1回-理科","19-28",Y,"Y","0"
"Y","久我山2024","久我山-2024-第1回-国語","35-29",Y,"Y","0"
"Y","久我山2024","久我山-2024-第1回ST-算数","49-51",Y,"Y","0"
"Y","久我山2024","久我山-2024-第1回ST-国語","61-52",Y,"Y","0"
"Y","久我山2024","久我山-2024-第2回ST-算数","69-74",Y,"Y","0"
"Y","久我山2024","久我山-2024-第2回ST-国語","91-75",Y,"Y","0"
"Y","久我山2024","久我山-2024-解答","36-47,62-68,92",N,"N","0"
"Y","久我山付録","久我山-2024-第1回-解答用紙","10-13",N,"N","0"
"Y","久我山付録","久我山-2024-第1回ST-解答用紙","14-15",N,"N","0"
"Y","久我山付録","久我山-2024-第2回ST-解答用紙","16-17",N,"N","0"
