"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"N",,,,,,
"Y","大宮開成2024_1","大宮開成-2024-第1回-算数","1-5",Y,"Y","0"
"Y","大宮開成2024_1","大宮開成-2024-第1回-社会","6-19",Y,"Y","0"
"Y","大宮開成2024_1","大宮開成-2024-第1回-理科","20-30",Y,"Y","0"
"Y","大宮開成2024_1","大宮開成-2024-第1回-国語","42-31",Y,"Y","0"
"Y","大宮開成2024_1","大宮開成-2024-第1回-解答","43-55",N,"N","0"
"Y","大宮開成付録","大宮開成-2024-第1回-解答用紙","10-13",N,"N","0"
"N",,,,,,
"Y","大宮開成2023_1","大宮開成-2023-第1回-算数","1-5",Y,"Y","0"
"Y","大宮開成2023_1","大宮開成-2023-第1回-社会","6-22",Y,"Y","0"
"Y","大宮開成2023_1","大宮開成-2023-第1回-理科","23-37",Y,"Y","0"
"Y","大宮開成2023_1","大宮開成-2023-第1回-国語","49-38",Y,"Y","0"
"Y","大宮開成2023_1","大宮開成-2023-第1回-解答","50-63",N,"N","0"
"Y","大宮開成付録","大宮開成-2023-第1回-解答用紙","18-21",N,"N","0"
