"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"N",,,,,,
"Y","東京電機大2023-1","ＴＤＵ-2023-第1回-算数","1-4",Y,"Y","0"
"Y","東京電機大2023-1","ＴＤＵ-2023-第1回-社会","5-18",Y,"Y","0"
"Y","東京電機大2023-1","ＴＤＵ-2023-第1回-理科","19-32",Y,"Y","0"
"Y","東京電機大2023-1","ＴＤＵ-2023-第1回-国語","51-33",Y,"Y","0"
"Y","東京電機大2023-1","ＴＤＵ-2023-第1回-解答","52-63",N,"N","0"
"N",,,,,,
"Y","東京電機大2025-1","ＴＤＵ-2025-第1回-算数","1-4",Y,"Y","0"
"Y","東京電機大2025-1","ＴＤＵ-2025-第1回-社会","5-18",Y,"Y","0"
"Y","東京電機大2025-1","ＴＤＵ-2025-第1回-理科","19-31",Y,"Y","0"
"Y","東京電機大2025-1","ＴＤＵ-2025-第1回-国語","51-32",Y,"Y","0"
"Y","東京電機大2025-1","ＴＤＵ-2025-第1回-解答","52-63",N,"N","0"
"N",,,,,,
"Y","東京電機大2025-3","ＴＤＵ-2025-第3回-算数","1-5",Y,"Y","0"
"Y","東京電機大2025-3","ＴＤＵ-2025-第3回-社会","6-20",Y,"Y","0"
"Y","東京電機大2025-3","ＴＤＵ-2025-第3回-理科","21-32",Y,"Y","0"
"Y","東京電機大2025-3","ＴＤＵ-2025-第3回-国語","49-33",Y,"Y","0"
"Y","東京電機大2025-3","ＴＤＵ-2025-第3回-解答","50-61",N,"N","0"
"N",,,,,,
"Y","東京電機大2024-1","ＴＤＵ-2024-第1回-算数","1-6",Y,"Y","0"
"Y","東京電機大2024-1","ＴＤＵ-2024-第1回-社会","7-22",Y,"Y","0"
"Y","東京電機大2024-1","ＴＤＵ-2024-第1回-理科","23-31",Y,"Y","0"
"Y","東京電機大2024-1","ＴＤＵ-2024-第1回-国語","51-32",Y,"Y","0"
"Y","東京電機大2024-1","ＴＤＵ-2024-第1回-解答","52-63",N,"N","0"
"N",,,,,,
"Y","東京電機大2024-3","ＴＤＵ-2024-第3回-算数","1-4",Y,"Y","0"
"Y","東京電機大2024-3","ＴＤＵ-2024-第3回-社会","5-18",Y,"Y","0"
"Y","東京電機大2024-3","ＴＤＵ-2024-第3回-理科","19-29",Y,"Y","0"
"Y","東京電機大2024-3","ＴＤＵ-2024-第3回-国語","49-30",Y,"Y","0"
"Y","東京電機大2024-3","ＴＤＵ-2024-第3回-解答","50-62",N,"N","0"
"N",,,,,,
"Y","東京電機大付録","ＴＤＵ-2025-第1回-解答用紙","2-5",N,"N","0"
"Y","東京電機大付録","ＴＤＵ-2025-第3回-解答用紙","6-9",N,"N","0"
"Y","東京電機大付録","ＴＤＵ-2024-第1回-解答用紙","10-13",N,"N","0"
"Y","東京電機大付録","ＴＤＵ-2024-第3回-解答用紙","14-17",N,"N","0"
"Y","東京電機大付録","ＴＤＵ-2023-第1回-解答用紙","18-21",N,"N","0"
"Y","東京電機大付録","ＴＤＵ-2023-第3回-解答用紙","22-25",N,"N","0"
