"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"Y","都市大学付録","都市大学-0概要","1",N,"N","0"
"N",,,,,,
"Y","都市大学2021","都市大学-2021-第1回-算数","1-3",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-第1回-社会","4-9",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-第1回-理科","10-15",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-第1回-国語","26-16",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-第2回-算数","41-43",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-第2回-社会","44-51",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-第2回-理科","52-58",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-第2回-国語","70-59",Y,"Y","0"
"Y","都市大学2021","都市大学-2021-解答","27-35,71-82",N,"N","0"
"Y","都市大学付録","都市大学-2021-第1回-解答用紙","28-31",N,"N","0"
"Y","都市大学付録","都市大学-2021-第2回-解答用紙","32-35",N,"N","0"
"N",,,,,,
